2025-06-26T03:17:41.787443 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T03:17:41.952242 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T03:18:09.859993 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T03:18:09.985791 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T03:19:25.361618 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T03:19:25.489471 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T03:20:06.567060 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T03:20:06.689296 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T03:23:05.626530 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T03:23:05.749900 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T03:25:07.227753 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T03:25:07.364893 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T03:37:09.802884 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T03:37:09.939998 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T03:46:37.066926 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T03:46:41.265157 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T03:56:50.923996 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T04:13:13.634788 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T04:13:13.821189 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T15:44:39.127634 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T15:44:39.665464 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T15:53:22.374896 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T15:53:22.580910 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T16:25:05.481400 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T16:25:05.682071 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
2025-06-26T17:34:48.772785 | 16 | 6 | vm2-syslog | servidores | SYSLOG Server VM2 started successfully
